T&D :- 16/01/2023 06:31:00 | EURUSD | call | 348.3306425522753 | Counter :- 201 | 10062.71 | Compounding Amt :- 292.71482567418093
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 202 | 10061.52 | Compounding Amt :- 641.0454682264563
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 203 | 10060.33 | Compounding Amt :- 642.2354682264563
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 204 | 10059.14 | Compounding Amt :- 643.4254682264564
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 765.676307189483 | Counter :- 205 | 9295.71 | Compounding Amt :- 643.4254682264564
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 206 | 10743.25 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 207 | 10744.31 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 208 | 10745.37 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 209 | 10746.43 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 210 | 10745.24 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 211 | 10744.05 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 212 | 10742.86 | Compounding Amt :- 4.57
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 213 | 10741.67 | Compounding Amt :- 5.76
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 214 | 10740.48 | Compounding Amt :- 6.949999999999999
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 8.270499999999998 | Counter :- 215 | 10734.46 | Compounding Amt :- 6.949999999999999
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 216 | 10748.92 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 217 | 10749.99 | Compounding Amt :- 1
